timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,sys.rangingUs
29083.529,337.0625,312.0625,175.125,384.4375,52.875,1912.0,298.375,279.1875,1920.75,17.875,-15.875,0.0,0.0,147.56484985351562,0,55027
29133.076,337.0625,312.0625,175.125,384.4375,52.875,1611.625,282.1875,274.25,1922.375,21.8125,-15.5625,0.0,0.0,147.55360412597656,0,55122
29182.603,337.0625,312.0625,175.125,384.4375,52.875,1611.625,282.1875,274.25,1922.375,21.8125,-15.5625,0.0,0.0,147.56927490234375,0,55122
29232.171,338.4375,313.625,173.4375,385.1875,48.75,1611.625,282.1875,274.25,1922.375,21.8125,-15.5625,0.0,0.0,147.59744262695312,0,55122
29281.694,338.4375,313.625,173.4375,385.1875,48.75,1760.5,288.5625,260.25,1919.6875,18.0625,-16.3125,0.0,0.0,147.59039306640625,0,55022
29331.258,338.4375,313.625,173.4375,385.1875,48.75,1760.5,288.5625,260.25,1919.6875,18.0625,-16.3125,0.0,0.0,147.6065673828125,0,55022
29380.791,338.3125,313.8125,180.9375,386.625,48.75,1760.5,288.5625,260.25,1919.6875,18.0625,-16.3125,0.0,0.0,147.5997772216797,0,55022
29430.338,338.3125,313.8125,180.9375,386.625,49.375,1737.875,284.375,276.5,1921.3125,21.875,-15.8125,0.0,0.0,147.6092071533203,0,55112
29479.875,338.3125,313.8125,180.9375,386.625,49.375,1737.875,284.375,276.5,1921.3125,21.875,-15.8125,0.0,0.0,147.61097717285156,0,55112
29529.442,337.875,313.9375,174.8125,386.625,49.375,1737.875,284.375,276.5,1921.3125,21.875,-15.8125,0.0,0.0,147.60946655273438,0,55112
29578.97,337.875,313.9375,174.8125,386.5,50.0625,1616.5625,285.0,278.5625,1919.0,21.6875,-15.875,0.0,0.0,147.62472534179688,0,55146
29628.527,337.875,313.9375,174.8125,386.5,50.0625,1616.5625,285.0,278.5625,1919.0,21.6875,-15.875,0.0,0.0,147.61903381347656,0,55146
29678.08,336.5625,314.5625,174.8125,386.5,50.0625,1616.5625,285.0,278.5625,1919.0,21.6875,-15.875,0.0,0.0,147.5953369140625,0,55146
29727.63,336.5625,314.5625,176.4375,386.1875,51.8125,1609.125,285.1875,278.8125,1918.5,18.0625,-16.625,0.0,0.0,147.58786010742188,0,54991
29777.152,336.5625,314.5625,176.4375,386.1875,51.8125,1609.125,285.1875,278.8125,1918.5,18.0625,-16.625,0.0,0.0,147.59413146972656,0,54991
