timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,motion.deltaX,motion.deltaY,motion.shutter,motion.squal,motion.std,motion.loopUs,sys.rangingUs
36892.143,297.75,297.375,297.6875,373.75,57.25,1397.8125,431.625,211.0625,1921.375,16.3125,-14.5625,2.3123066425323486,1.6269302368164062,0.017592184245586395,25,0,0,8191,18,2.0,24298,59556
36941.698,297.75,297.375,297.6875,373.75,57.25,1397.8125,431.625,211.0625,1921.375,16.3125,-14.5625,2.2248945236206055,1.5640696287155151,0.015065436251461506,14,0,0,8191,18,2.0,24298,59556
36991.259,297.75,297.375,297.6875,373.75,57.25,1397.8125,431.625,211.0625,1921.375,16.3125,-14.5625,2.184807777404785,1.5346769094467163,0.013989932835102081,13,0,0,8191,20,2.0,361,59556
37040.799,295.625,294.6875,297.6875,371.8125,58.8125,1402.9375,439.4375,192.6875,1920.8125,16.5625,-14.5625,2.184807777404785,1.5346769094467163,0.013989932835102081,13,0,0,8191,20,2.0,361,59556
37090.354,295.625,294.6875,297.6875,371.8125,58.8125,1402.9375,439.4375,192.6875,1920.8125,16.5625,-13.75,2.285461902618408,1.6053566932678223,0.014441730454564095,15,0,0,8191,19,2.0,360,55694
37139.889,295.625,294.6875,297.6875,371.8125,58.8125,1402.9375,439.4375,192.6875,1920.8125,16.5625,-13.75,2.414472818374634,1.70084547996521,0.020848175510764122,27,0,0,8191,19,2.0,360,55694
37189.458,295.0,293.9375,294.625,514.4375,58.75,1400.9375,378.75,213.5,1920.8125,16.5625,-13.75,2.5109803676605225,1.7734427452087402,0.016442086547613144,11,0,0,8191,19,2.0,360,55694
37238.992,295.0,293.9375,294.625,514.4375,58.75,1400.9375,378.75,213.5,1921.9375,20.4375,-14.625,2.70111083984375,1.9150445461273193,0.013265075162053108,11,0,0,8191,18,2.0,18238,60413
37288.569,295.0,293.9375,294.625,514.4375,58.75,1400.9375,378.75,213.5,1921.9375,20.4375,-14.625,2.4361391067504883,1.7137936353683472,0.016249462962150574,19,0,0,8191,18,2.0,18238,60413
37338.117,293.1875,293.75,291.75,369.3125,55.625,1403.875,378.75,213.5,1921.9375,20.4375,-14.625,2.541321039199829,1.7907556295394897,0.013966153375804424,12,0,0,8191,18,2.0,421,60413
37387.651,293.1875,293.75,291.75,369.3125,55.625,1403.875,424.875,190.0625,1920.6875,16.375,-13.8125,2.604318141937256,1.8357105255126953,0.01197869423776865,11,0,0,8191,18,2.0,421,63192
37437.198,293.1875,293.75,291.75,369.3125,55.625,1403.875,424.875,190.0625,1920.6875,16.375,-13.8125,2.5372674465179443,1.7859652042388916,0.016147460788488388,21,0,0,8191,18,2.0,329,63192
37486.78,296.0,292.6875,292.25,369.9375,55.625,1403.875,424.875,190.0625,1920.6875,16.375,-13.8125,2.5249621868133545,1.7760202884674072,0.014679455198347569,13,0,0,8191,18,2.0,329,63192
37536.301,296.0,292.6875,292.25,369.9375,56.4375,1404.125,344.4375,212.875,1918.9375,20.625,-14.5625,2.6969475746154785,1.9003604650497437,0.017384741455316544,21,0,0,8191,24,2.0,24204,59454
37585.852,296.0,292.6875,292.25,369.9375,56.4375,1404.125,344.4375,212.875,1918.9375,20.625,-14.5625,2.716059923171997,1.9126558303833008,0.014329766854643822,11,0,0,8191,24,2.0,24204,59454
37635.416,295.875,293.3125,292.25,369.9375,56.4375,1404.125,344.4375,212.875,1918.9375,20.625,-14.5625,2.7592766284942627,1.94265615940094,0.012942550703883171,13,0,0,8191,20,2.0,312,59454
37684.965,295.875,293.3125,293.125,371.6875,57.75,1399.3125,383.9375,211.25,1923.5625,16.5,-13.5625,2.8714404106140137,2.021296262741089,0.008591387420892715,7,0,0,8191,20,2.0,312,62505
37734.511,295.875,293.3125,293.125,371.6875,57.75,1399.3125,383.9375,211.25,1923.5625,16.5,-13.5625,2.4558868408203125,1.7279901504516602,0.014969002455472946,22,0,0,8191,18,2.0,403,62505
37784.067,295.875,293.3125,293.125,371.6875,57.75,1399.3125,383.9375,211.25,1923.5625,16.5,-13.5625,2.3318169116973877,1.6412113904953003,0.012385673820972443,10,0,0,8191,18,2.0,403,62505
37833.613,297.75,297.5625,295.125,370.375,57.125,1403.8125,373.375,192.0625,1920.0625,16.5,-13.5625,2.516651153564453,1.7704639434814453,0.012950657866895199,14,0,0,8191,18,2.0,403,62505
37883.171,297.75,297.5625,295.125,370.375,57.125,1403.8125,373.375,192.0625,1920.0625,20.5625,-14.5,3.147714376449585,2.2118782997131348,0.015972983092069626,19,0,0,8191,18,2.0,23304,59544
37932.713,297.75,297.5625,295.125,370.375,57.125,1403.8125,373.375,192.0625,1920.0625,20.5625,-14.5,3.257568359375,2.2889022827148438,0.013679119758307934,12,0,0,8191,18,2.0,23304,59544
37982.287,295.75,297.8125,276.6875,371.375,55.9375,1399.25,433.0,192.0625,1920.0625,20.5625,-14.5,1.9392292499542236,1.3643306493759155,0.018042979761958122,24,0,0,8191,16,2.0,311,59544
38031.816,295.75,297.8125,276.6875,371.375,55.9375,1399.25,433.0,192.5,1957.6875,16.4375,-14.375,1.4636651277542114,1.0327732563018799,0.01614423654973507,13,0,0,8191,16,2.0,311,62753
38081.382,295.75,297.8125,276.6875,371.375,55.9375,1399.25,433.0,192.5,1957.6875,16.4375,-14.375,1.6698760986328125,1.1764042377471924,0.01669185236096382,17,0,0,8191,24,2.0,387,62753
38130.929,296.0,299.125,280.625,372.9375,55.9375,1399.25,433.0,192.5,1957.6875,16.4375,-14.375,2.5655088424682617,1.8008968830108643,0.01877811923623085,20,0,0,8191,24,2.0,387,62753
