timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10
32865.741,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32869.658,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32873.662,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32877.584,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32881.547,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32885.556,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32889.479,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32893.473,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32897.411,226.0,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32901.373,226.0,221.0625,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32905.38,226.0,221.0625,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32909.304,226.0,221.0625,242.1875,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32913.298,226.0,221.0625,242.1875,308.125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32917.227,226.0,221.0625,242.1875,308.125,135.9375,378.0,174.625,163.625,298.5625,55.4375,58.6875
32921.191,226.0,221.0625,242.1875,308.125,135.9375,378.0,174.625,163.625,298.5625,55.4375,58.6875
32948.921,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32952.919,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32956.841,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32960.803,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32964.813,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32968.739,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32972.724,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32976.655,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32980.617,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32984.627,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32988.552,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32992.548,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32996.469,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33000.432,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33004.442,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33008.368,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33012.355,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33016.285,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33020.247,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33024.256,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33028.179,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33032.178,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33036.098,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33040.063,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33044.069,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33048.008,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33051.992,236.375,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33055.927,236.375,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33059.887,236.375,392.625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33063.896,236.375,392.625,259.8125,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33067.813,236.375,392.625,259.8125,347.625,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33071.811,236.375,392.625,259.8125,347.625,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33075.737,236.375,392.625,259.8125,347.625,176.25,409.25,176.0625,172.0,394.5,70.8125,76.8125
33079.696,236.375,392.625,259.8125,347.625,176.25,459.25,176.0625,172.0,394.5,70.8125,76.8125
33103.512,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33107.43,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33111.434,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33115.354,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33119.317,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33123.326,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33127.248,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33131.24,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33135.169,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33139.131,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33143.141,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33147.058,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33151.062,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33154.983,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33158.945,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33162.955,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33166.874,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33170.866,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33174.797,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33178.76,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33182.769,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33186.69,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33190.691,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33194.611,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33198.574,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33202.595,236.375,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33206.529,306.6875,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33210.503,306.6875,392.625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33214.446,306.6875,452.0625,259.8125,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33218.394,306.6875,452.0625,266.0,347.625,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33222.409,306.6875,452.0625,266.0,262.5,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33226.333,306.6875,452.0625,266.0,262.5,176.25,459.25,199.6875,172.375,388.125,95.5625,92.375
33230.328,306.6875,452.0625,266.0,262.5,216.8125,459.25,199.6875,172.375,388.125,95.5625,92.375
33262.026,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33265.944,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33269.947,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33273.868,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
33277.831,306.6875,452.0625,266.0,262.5,216.8125,429.0,198.75,174.6875,293.0625,118.5,117.125
