timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,motion.deltaX,motion.deltaY,motion.shutter,motion.squal,motion.std,motion.loopUs
39702.061,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,4.560487270355225,14.530773162841797,0.015318640507757664,14,0,0,8191,18,2.0,370
39751.604,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,4.470903396606445,14.467968940734863,0.014660188928246498,22,0,0,8191,23,2.0,329
39801.156,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.388343334197998,15.541385650634766,0.015773875638842583,12,0,0,8191,23,2.0,329
39850.688,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.699698448181152,15.84272575378418,0.013488514348864555,10,0,0,8191,19,2.0,313
39900.231,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,4.694163799285889,14.910104751586914,0.015828896313905716,20,0,0,8191,19,2.0,313
39949.776,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,4.905694961547852,15.142851829528809,0.014316115528345108,12,0,0,8191,19,2.0,312
39999.338,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,4.95136833190918,15.223978996276855,0.013108351267874241,12,0,0,8191,19,2.0,312
40048.859,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.266507625579834,15.717581748962402,0.01923205517232418,27,0,0,8191,25,2.0,334
40098.408,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.241608142852783,15.525930404663086,0.01446471642702818,7,0,0,8191,25,2.0,334
40147.945,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,5.080155849456787,15.56285572052002,0.01704060658812523,21,0,0,8191,24,2.0,307
