timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z
32872.882,281.3125,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.68836975097656
32876.849,281.9375,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.68836975097656
32880.859,281.9375,244.75,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.69025421142578
32884.775,281.9375,245.375,256.6875,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.69025421142578
32888.777,281.9375,245.375,258.125,308.5625,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.69194793701172
32892.698,281.9375,245.375,258.125,310.25,192.9375,89.75,63.1875,267.75,1967.1875,12.75,-26.625,0.0,0.0,112.69194793701172
32928.402,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.70352172851562
32932.322,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.70352172851562
32936.285,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.70352172851562
32940.294,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.71755981445312
32944.214,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.71755981445312
32948.211,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.73019409179688
32952.137,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.73019409179688
32956.1,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.73019409179688
32960.109,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.73609924316406
32964.027,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.73609924316406
32968.031,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.74140930175781
32971.952,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.74140930175781
32975.915,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.74140930175781
32979.925,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.74673461914062
32983.846,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.74673461914062
32987.837,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.75153350830078
32991.768,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.75153350830078
32995.731,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.75153350830078
32999.74,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.75093078613281
33003.657,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.75093078613281
33007.662,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.7503890991211
33011.583,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.7503890991211
33015.546,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.7503890991211
33019.555,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.75591278076172
33023.472,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.75591278076172
33027.486,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.7608871459961
33031.414,281.9375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.7608871459961
33035.371,282.4375,245.375,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.7608871459961
33039.385,282.4375,246.125,258.125,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.76371765136719
33043.297,282.4375,246.125,256.875,310.25,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.76371765136719
33047.306,282.4375,246.125,256.875,310.375,193.75,89.875,63.375,266.4375,1966.8125,16.9375,-25.3125,0.0,0.0,112.76626586914062
